time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7
276	296.263553	0	-1989.59119	1694605.53	5494.25026	10964165.1	-1775.65119	7724323.95	16896203700.0	75683907.4
278	299.184267	0	-2089.69172	717503.428	462422.696	122233282.0	-1875.75172	40316212.3	41372948.9	1255826.38
280	303.269549	0	-2042.92402	1060554650.0	-430.88142	3211.38527	-1828.98401	32905.6196	5994.28536	34992.7601
282	300.177433	0	-2065.70084	21745.5007	167680569.0	41908617.6	-1851.76084	25775500.9	541617895.0	5077532.79
284	307.277147	0	-1996.99665	7675.81954	-2085.13665	1350543.79	4951065630.0	1923158.19	198104486.0	2635825450.0
286	297.129915	0	-2080.15293	133554.298	237931.839	31705223600.0	-1866.21293	4129221700.0	743515109.0	1266521260000.0
288	298.255701	0	-1962.25468	55086.1637	28.6621832	4851452.08	-1748.31467	932201.343	134725784.0	377947.488
290	298.333241	0	-2016.12468	7735109.36	395070.255	169794.669	-1802.18468	28881162.7	547771927.0	38125517.6
292	292.816758	0	-2086.77736	116151.639	21490.2223	13824.481	-1872.83736	13011495.8	6100652.23	172205.331
294	294.15406	0	-1964.27892	259.432278	-755.932751	-977.724881	707911.955	-1959.81996	98095.654	-1818.84893
296	293.277926	0	-1957.64771	6030.06983	260607.791	-662.572334	-1743.7077	6872.61097	1524940.55	11505278.6
298	293.851796	0	-1993.71161	6395.01449	-2081.85161	224495.814	174466080.0	135053689.0	78269146.0	10066434900.0
300	294.188693	0	-2062.50739	42980324.3	-2150.64739	6810099.58	90243532.7	129266218000.0	2595243290.0	4815385.34
302	297.955622	0	-2065.27599	761591.319	175.230628	94696.9532	-1851.33599	3676739.12	9219417010.0	682460.721
304	294.796229	0	-2021.85648	15412854.9	31846516.8	159825820000.0	-1807.91647	2063652.92	9978557530000.0	50710497.1
306	296.639131	0	-2033.9412	1430.66918	11733.8129	4877.014	-1820.00119	14348.9721	75785.9397	62328.7957
308	298.229251	0	-2020.31571	47907.5293	7459.83297	10216.7659	-1806.37571	520922.057	1387749820.0	62517.5954
310	302.331626	0	-2055.31819	2106004.89	1305583.77	830735.968	-1841.37819	186608057.0	83339735.2	48620493.7
312	294.083692	0	-2014.92205	263931.745	26326.7003	10101.2135	-1800.98204	10977.3417	26539.0539	-1314.02225
314	292.00187	0	-1997.15787	6681181.66	538240205.0	2028.93606	-1783.21787	235814864.0	390039100.0	2198520.29
316	295.070976	0	-2038.19358	3537348.86	882093.836	214656.662	-1824.25357	2787483.74	201670298.0	8736176.3
318	298.82383	0	-2043.76467	79371.9929	7441.48593	12422.4095	-1829.82467	41238026100000.0	325976774.0	301559708.0
320	298.639576	0	-2010.36352	3543250.22	491.556744	13580.4337	-1796.42352	1152890.38	1213144270000.0	50455.2974
322	301.325663	0	-1979.67454	19398.5583	2093520.16	11002.9199	-1765.73454	38237.6537	431996899.0	132124.665
324	295.535959	0	-2039.41165	13096374.6	9561.7197	9672.77403	-1825.47165	3661018.9	1657749170.0	2481.81369
326	293.912847	0	-2066.59583	125860.455	5421.81253	2601.53778	-1852.65583	1139.28067	5192865700.0	232686.597
328	296.739328	0	-2043.29247	2181833.88	2446.02783	56196.2423	-1829.35247	8671288500.0	113908600.0	28559960.8
330	300.86896	0	-1955.2989	343989.918	339270997.0	54897.8202	-1741.3589	779346.323	3211.68044	4240152.42
332	292.649783	0	-2034.78485	47590.1411	42660801300.0	209145.346	-1820.84485	888023.665	58074714800000.0	35137018500.0
