time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
2470	296.167949	0	-22.4190606	64.2529013	-77.8890617	433.072584	36.4803966	1704.80639	1205.37079	80.224663	98.3547431	-9.46699157	-18.9187398	37.4979921	-64.546255	-495.121417
2472	300.603874	0	-15.8638137	11428.6908	3052.54563	44221658.8	-6.93974634	22611.3195	1114433.75	322.953133	242.008659	47.7399864	-58.8038123	1286.60536	4107.1097	-422.203595
2474	305.490043	0	-62.9678835	22317.6414	2853874720.0	14819282400.0	-108.523525	3514156.0	1175571.05	-23.1940976	45.594978	-101.886671	-67.3891993	-71.8637747	20564.3071	-543.544573
2476	298.261068	0	-82.8604359	16521.8543	-6.0544349	-120.910435	-97.6527253	25340.5618	249.014707	189.040587	64.1354843	-72.5739015	-49.5473563	-45.1414441	-114.535425	-515.169203
2478	293.269081	0	-48.7220936	291.146469	-104.192088	729.63903	-79.0990801	21.8849691	42.1559392	100.602785	57.9725625	-54.8022953	18.8994849	-42.7833794	1318.64252	-511.895135
2480	298.603133	0	-1.2068003	1557632.61	3708.3678	15023.9081	-60.0567781	1059.0257	9611.63865	-10.756059	90.1655207	-35.394147	-32.5553828	-19.4434297	1089.69683	-444.572842
2482	294.48676	0	-30.1573407	2738.86009	76460.9553	2832246.55	-33.6908715	2721.89949	9053041.29	64.6941938	100.507891	-12.8088632	17.8222103	9.61648373	-139.917343	-515.001556
2484	298.956858	0	-28.8846327	5634.45899	178128.484	1993164.66	-36.9360485	47964.9167	177809.565	165.914925	39.0020399	-53.6755019	-39.1032009	-64.6363143	4528079.59	-491.839974
2486	304.981539	0	-76.2800513	376.519221	-131.750053	48763.0848	-55.8393679	335.765838	277559.991	331.953687	46.1550319	-69.8184911	-65.4306458	-60.8853841	-40.8920471	-302.471352
2488	295.761918	0	-36.1101392	12214.8298	13435.6301	50856.7418	-19.0252062	38618.3531	2961.95233	-46.3980284	44.9893454	-57.4992697	-46.97756	36.8145608	2090.29785	-407.934909
2490	303.368728	0	-31.1876596	970342.315	45095968.9	34409544.9	-81.3534689	11798.87	77130.4503	-41.4701852	33.9495954	-37.9056565	233.727548	106.223529	10015.5674	-496.33998
2492	301.822503	0	-50.9240118	20.1735039	-106.394013	609.160513	106.518366	557.820493	143.14813	-7.64252687	63.7559781	-2.6487281	-44.709901	-39.3402747	31305.9438	-542.294474
2494	302.17682	0	-42.5066036	4897.35627	44929.3599	680783544.0	33.994537	17945118.3	5515076.09	3344.76368	165.104607	346.170977	232.466263	302.039696	1245476060.0	-579.84663
2496	297.74468	0	2.91329791	3691.73478	618.34457	395344.569	-12.2904932	7105.57936	-68.3767012	30.0021717	116.029969	0.478802039	49.1325571	10.8903827	50432.2359	-465.601293
2498	293.195891	0	-82.4536379	1015.19496	126.510389	3269.59675	-85.0321396	-122.993639	117451.773	12.3236632	25.7329096	-78.5401133	-61.0368618	-50.80021	1045.27677	-553.076501
2500	298.834124	0	-14.1503212	493.618355	1058.85721	33834123.9	-66.8691017	179544.211	194624.49	0.784940977	64.6536321	-52.8277556	-50.9720523	-18.4797696	1186.58231	-378.963418
2502	299.048489	0	-62.3801258	19822.4745	1432635.37	22169.7891	7.30448391	69629.9743	27437.8686	7984.07935	3.15847436	-101.299597	-84.3559277	465.202714	57923.4639	-427.574123
2504	302.040504	0	-44.5687266	931.153574	252293.068	1599516850.0	-38.2334704	4421642.37	55506.8624	106.153516	256.902643	-4.02429767	-87.5087252	0.513195435	224.156458	-455.718543
2506	297.781905	0	-65.7765149	3207.05186	-121.246516	11115.3088	265.021369	356.557449	5011598.37	39.2982001	34.1740947	7.27766266	1.09418994	-53.0285607	273.842088	-535.362602
2508	294.395802	0	2.21927703	2823.54322	1156.11851	2868.45487	-62.3390046	370.304518	122201.249	27.3851616	49.0081658	-12.6708808	-10.2356624	45.2617231	1552.78977	-479.204814
2510	293.859802	0	-58.9473029	16826.4873	470.207873	1123.72972	91.5004376	1423.63095	-11.1846536	36.9280973	101.755787	-28.7306114	523.212836	57.211612	-168.707305	-534.343978
2512	295.806775	0	-75.8250211	-75.8250208	652.617798	15066.7391	-82.2787154	159032388.0	3136123.54	-46.1585007	36.1821335	-58.8454022	110.626103	-36.9425865	510.927546	-535.348049
2514	293.152319	0	-17.4626231	1604.26382	15931.2594	102402270.0	-81.9954453	2193.61049	31185.215	276.7367	30.7759568	-43.1264114	-37.9408563	-5.705224	7294.20269	-541.983425
2516	297.442854	0	0.191615834	1929.37316	15399.4335	52161.5205	-14.3177808	127019.628	7975.5145	97.2168371	139.323677	12.1923229	7.21212636	48.520865	444.236119	-537.148411
2518	302.006316	0	-29.7364019	159720.542	-85.206403	158.720514	-49.448088	43977.9261	610.789416	3.68212963	76.1704591	-7.19440831	7.99719914	-16.0654214	52.0638637	-450.700567
2520	300.348788	0	30.7524976	92.1583479	-20.5415343	149.056447	-5.65901225	756.124028	-40.0286014	45.248968	130.489088	23.2471678	52.6103364	50.7892764	6.14186301	-453.282977
2522	289.775259	0	-4.66411076	41015081.5	23660.3686	62300.8927	-9.5584867	14528.7555	9653.25971	56.8564194	175.872902	219.042615	-3.25256275	2689.5927	32256.4154	-542.004138
2524	299.946618	0	-106.105949	-106.102698	316.834084	50962.9721	-134.731221	63632.2214	15097.4032	-99.9389092	773.961987	274.518144	-110.009843	-107.57416	611.061113	-581.504417
2526	296.411774	0	-14.6023343	168916.827	75619.3276	126043.498	-79.1622751	253.026094	12600.6519	326.940132	1645.82775	-27.0345626	0.704662292	51.6125004	8.09536286	-486.536668
2528	293.894979	0	-52.1007193	40732638900.0	2084.73008	2900.10961	-103.441766	626.098667	18.7209117	-62.296286	32.3616937	-82.5253841	853.200002	-54.5776143	-101.626608	-565.255209
2530	292.14505	0	-62.7304014	8487.35373	23786069.9	2955703.39	-52.4898401	524114.732	2098.71353	355.175495	88.6245926	1.09687383	-46.0585543	-98.4903997	183907221.0	-268.916333
2532	293.373028	0	-97.5284801	281055.028	58454.1729	302.967293	-24.9529316	-138.068481	178.71823	190.638797	64.9994426	-17.4942268	-68.9333211	217.74238	-96.3888347	-522.27721
2534	292.241545	0	-25.1509207	1303968560.0	362405.058	612822.759	137.660075	40800.8302	270771.811	2426.62561	46.4309541	49.41886	-68.0909192	630.171943	124054.325	-515.469643
2536	300.116423	0	-47.4541478	1298.94284	3929.94406	281.286318	-16.9227827	-87.9941487	-22.1910409	-10.1247266	101.873982	-11.8782323	-26.5229487	19.0501108	-21.270244	-464.587994
2538	298.845389	0	-67.1745648	145.937587	550285.187	757.794058	-27.887955	-107.714565	6368.01848	35.6436643	103.192165	-68.1605214	-56.1033533	76.5773337	-102.543675	-552.623822
2540	295.711941	0	-20.8444307	30059.6244	141607.619	62377.8229	93.9333238	2413.05206	56857.1149	2990.07947	74.3617717	4736.87832	-63.7844293	9439.64306	1562.62882	-476.523933
