time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
3932	298.35298	49.0204536	-521.182327	-521.182327	15625665500.0	31300027.9	217995593000000.0	155908676.0	54940.5764
3934	301.647855	49.7279031	-568.289009	-127.771295	4222215.56	1657829.31	315670.967	27590292.5	-668.889008
3936	297.953632	80.7424786	-553.993261	11313564.1	84036.9236	186357410000.0	1886954160.0	1917.75713	-654.593259
3938	295.511892	57.7393401	-539.683088	477.926634	450792.896	21978.6777	24693.5376	1956815.25	-640.283086
3940	296.175491	73.1553813	-538.475244	131.169996	-395.525247	6363729.91	1020929.91	1937.51004	194179.797
3942	295.576497	49.9515899	-545.085799	-545.085799	88823810.1	1420184.84	542981493.0	50281.9719	31753.3904
3944	295.524408	65.236533	-589.089835	-9.33773991	183249.487	52049.8547	5140028.67	-64.8181262	-689.689833
3946	292.879474	43.6451316	-572.755931	6287060.46	88280037200.0	68317.8658	883525.338	7628.0025	-673.35593
3948	295.351098	53.1777729	-550.914624	7847.35285	4597.55207	55449.9066	8074.98474	3419927.23	-651.514623
3950	297.060581	65.8537721	-576.935563	635.047393	10634810.6	566513.888	1123013200.0	4549.11243	-677.535561
3952	295.476531	75.8544595	-574.81106	29893.9459	354.479996	215783382.0	16069.9963	1991202.05	-675.411058
3954	296.911431	79.2398672	-495.131899	562712.963	-352.181902	116953.938	245112.045	228.007685	14987.505
3956	297.846195	37.7676525	-522.217041	-522.217041	3732.08151	4094.37104	150050.217	13793358.9	-323.299402
3958	299.443026	63.9397087	-581.533944	381058.218	1386.5635	131299154.0	30233950200.0	-153.143087	-682.133943
3960	299.810557	89.296953	-567.374139	24394590.6	1465688710.0	224057327.0	71594154.2	716.323675	-667.974138
3962	293.100187	51.6875045	-550.140551	-550.140551	712088.801	60893569.4	126850372.0	361938.974	4340.72304
3964	296.237024	80.4493097	-502.048517	-502.048517	13339.6873	614474.478	13638503.4	67866254.6	472.446201
3966	296.817424	70.8125648	-546.904518	750301.168	32611.2128	57552.5619	412642.572	157644.854	-647.504517
3968	295.213663	72.7330199	-590.334456	-590.334456	104843976000.0	31693174.1	54710442.2	177853394.0	5709953.19
3970	299.019676	52.7945192	-530.812933	-530.812933	1987.82879	1492.9428	1318899.24	5279923.57	3014.51977
3972	296.933102	78.5944038	-540.532144	562.373756	1218036.15	411559.9	11158.1307	55.0667137	-641.132143
3974	298.169037	50.0373301	-491.482223	78501.3488	-348.532226	90794.7724	5607.60138	2014.71683	720251.622
3976	296.187854	60.9016192	-562.635229	12422.652	15633.4843	2180593.11	6751413050.0	2353366.79	-663.235227
3978	293.198553	48.1113719	-577.719642	-577.719642	10305.6187	1017057.04	198115786.0	262114518.0	8384.70134
3980	298.060735	65.1776463	-532.292766	-532.292766	19651.5573	212118.99	195089.23	9582615.79	61160.4043
