time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
2618	299.573878	0	-448.09977	-448.09977	29561.6494	10978.3806	1508.88498	35913.1646	-120.699519
2620	300.454474	0	-475.788683	309.540381	-353.838686	209391.701	3031.70391	-206.18253	9205.39163
2622	299.092648	0	-399.835357	39.757958	-277.88536	153.192535	1457.49041	353.331827	376.757546
2624	299.520894	0	-460.201533	-460.201533	408.055976	11649.5264	815845.623	1107.30672	118596019000.0
2626	301.391176	0	-438.51495	-134.84262	-316.564953	38650813.9	710.933793	-54.2189179	29940.4079
2628	294.247116	0	-422.386901	-422.386901	18369.9602	5574581.33	395724.839	222.526971	1910.47582
2630	307.134192	0	-417.928339	-417.928339	5745.77163	30157650.2	12035090.6	165.613183	171187.606
2632	298.534377	0	-413.42037	-413.42037	5544.57538	20426134.4	3904407.21	471.792327	203.403877
2634	293.858735	0	-476.972734	13998.4704	549.28372	2801.11227	6518.19043	-196.396946	-596.722734
2636	298.999685	0	-455.329879	-455.329879	120753.724	275511.234	94746.7021	3008.08583	2137.66683
2638	299.586922	0	-443.954236	-356.573538	-322.004239	25547530.5	113838.959	21.071938	-84.5150783
2640	293.07333	0	-455.922656	301678.031	-333.972659	6441844.75	4175168.29	15224.2703	1508965040.0
2642	297.624019	0	-465.238399	-242.536015	-343.288402	1866359800.0	97879.7697	887.911648	19478283.7
2644	301.458031	0	-473.604589	-50.6117039	-351.654592	104832.86	24693.1454	920.631843	43243.4743
2646	298.199124	0	-377.935904	-377.935904	3328716.06	17008991.9	1692973.83	-150.556709	313.196657
2648	293.639047	0	-451.490174	-153.605373	937.823039	17831683.7	-217.410172	-176.914617	1306.71698
2650	292.644975	0	-469.200594	-469.200594	3201530580000000.0	736393070.0	5487758460.0	84.1451632	4878766.97
2652	293.823766	0	-441.409544	-441.409544	120442.287	137334.12	1391273390.0	1122.39493	207.846993
2654	296.638565	0	-484.568531	6623.96564	1952.82724	-621.488529	194485.765	-131.286745	-505.704056
2656	297.480087	0	-419.71267	-419.71267	2416213.05	5785280.03	6346.35426	-133.705372	1360.41389
2658	303.449727	0	-485.286501	-485.286501	786349.553	6586716.46	9271.85873	1822.53595	531.240581
2660	299.62494	0	-435.447384	-97.2459954	4892.48348	149.130063	4348771.01	546.054908	-555.197384
2662	300.761343	0	-429.752434	13174.089	-307.802437	431699.089	2015137.98	1667.72062	2482.00805
2664	297.35142	0	-435.067348	-435.067348	294121.936	8817821.63	6467.19686	7400.40296	8304.76898
2666	297.749679	0	-494.453482	371948.975	108720.208	-631.373481	16764366.3	-151.605163	209.368621
2668	297.711566	0	-516.932749	1680.65676	44394.5434	70955.7878	335891.428	-105.844035	-636.682749
2670	305.034247	0	-410.466726	-410.466726	3390.17443	146355.924	6146.16102	58.3838516	1272445.36
2672	295.895472	0	-521.43141	331.288269	10642.639	-475.818804	30528.3247	-69.1384587	-641.18141
2674	295.245346	0	-444.942798	3863.20258	24063570.1	12351.6871	607.40139	105.57728	-564.692798
2676	296.260677	0	-422.084383	-422.084383	1170.99275	74110.7391	5710.90132	5048.52105	155831166.0
2678	299.15773	0	-492.434528	656.654436	421122720.0	1971919020.0	-258.354526	118621799.0	25923.8807
2680	304.013831	0	-426.599515	-426.599515	2223.66553	873353.002	764423.801	16206.6027	82877366.2
2682	298.542273	0	-441.093197	12491.7713	1716732.04	29442802900.0	5711441.46	35981650.2	-560.843197
2684	304.009538	0	-455.696161	393.32152	9322.37061	-592.616159	26473.473	896.376111	-486.0558
2686	294.472818	0	-458.524317	1447.14005	18002.1487	375149317.0	2580.47628	-315.56431	1585.4698
2688	296.1354	0	-505.927414	3597.96836	6682.90292	-642.847412	37701.7309	37622.5994	-9.55822648
2690	294.075374	0	-460.257922	13638.9492	15416056.1	20384.4277	-226.17792	25614.2326	-424.142822
2692	296.644427	0	-434.873557	453811.398	1688.23642	-571.793555	15267.0587	96.0275661	-425.336451
2694	298.783342	0	-458.554997	1296.42217	53012.862	250591.838	-224.474995	-97.9818063	-141.715692
2696	298.341021	0	-450.125876	26084.6145	-328.175879	27660.0051	55789.3056	-88.3505197	3.51776984
2698	301.307304	0	-398.218283	-398.218283	14354.6909	616011.098	318518702.0	2452.31894	18988.4481
2700	300.924698	0	-455.5013	3112.16779	46757.8541	247691.591	71452.8267	26987.5024	-575.2513
2702	295.096052	0	-502.87451	187.723279	187354.1	6682864.9	149344114.0	-250.855617	-622.62451
2704	298.428676	0	-490.567789	227265.721	871439.912	-627.487787	1626210.44	-218.75623	-325.234936
2706	299.27361	0	-469.74711	-229.625065	79379.2287	-11.4306101	8759.0751	114030.094	-589.49711
2708	298.100891	0	-398.760919	622250778.0	2347.99332	66730096100.0	-164.680917	-84.779172	14965.2538
2710	298.921919	0	-465.269013	12893320.3	-126.989078	1077.48902	239961.026	179.66643	-585.019013
2712	295.776932	0	-489.28751	33173.6836	1712.404	113432003000.0	57783.8412	-346.327503	2262495.74
2714	295.754446	0	-405.98567	1921.85444	175.722818	39783943.8	6347.46561	12.8065307	-525.73567
2716	299.319322	0	-440.841131	917.649241	131582.28	-577.76113	53314.6357	1.19965465	-160.423426
2718	296.315849	0	-435.074475	770.802939	4338.99756	363961.362	56616935200.0	-139.610171	-554.824475
2720	298.882914	0	-453.849062	-173.523678	10697.2695	3965791.56	1534029.23	-310.889055	156.135996
2722	297.080455	0	-461.529917	714.926414	12810.6455	1771016.53	30061928.8	-318.56991	8991.89715
2724	297.458949	0	-447.552118	127261.752	-45.0017151	-584.472117	11962.2641	289.35253	-298.469881
2726	294.347162	0	-473.866595	306.540009	1801698.35	416120.921	-239.786593	655.567634	36.5272035
2728	297.402455	0	-440.286107	9316.17423	2373.82773	-577.206106	3939.42534	-222.313095	-342.340613
2730	293.943828	0	-464.217008	217.109648	2932.19836	7545443.72	-230.137006	-183.412181	6333.05766
2732	300.06944	0	-431.350824	-142.291112	94154.0326	23514.0939	5317.34343	816.424684	-551.100824
2734	297.982197	0	-426.458963	2162.09473	-304.508966	225738.458	549060.973	-87.1904625	17445.8808
2736	301.439652	0	-512.587245	22008.6406	38322.0101	12211070.0	-278.507243	10408.1482	1856.01554
2738	300.209377	0	-465.088845	456.205968	3037.4919	5067275.77	-231.008843	-153.022033	355.572944
2740	298.88065	0	-439.770596	4071.37827	-317.820599	929853.574	13791.7631	1646.27537	1639.22293
2742	300.830909	0	-474.109314	8740801040.0	472.509872	10412849.3	-240.029312	2107802.08	1680435.35
2744	295.655501	0	-408.498226	5782.63939	782.75532	-356.927351	12742.6726	271.060744	-528.248226
2746	292.524993	0	-461.792575	-247.858998	47550.5175	-261.52969	7400.44813	-39.3593422	-581.542575
2748	302.26679	0	-450.441614	2788.61109	66392.8483	1916430.94	53557.7876	-95.4513036	-570.191614
2750	296.969343	0	-458.750442	880.864254	9213.12341	106.658536	-224.67044	-218.028942	-435.088671
2752	293.109411	0	-455.07516	3952.82771	-56.1168266	3251.16874	658.594603	16.8864337	-574.82516
2754	297.348777	0	-455.145209	5031.60905	-333.195212	298515362.0	2703355.33	-125.065809	79679.9258
